Tempo, CFL maximo, Elemento de CFL maximo, Pecle maximo, Elemento de Pecle maximo,
 0.1800E+004 0.1563E+001   690 0.1099E-001   690
 0.1800E+004 0.1563E+001   690 0.1099E-001   690
 0.1800E+004 0.1563E+001   690 0.1099E-001   690
 0.1850E+004 0.1567E+001   690 0.1102E-001   690
 0.1850E+004 0.1567E+001   690 0.1102E-001   690
 0.1850E+004 0.1567E+001   690 0.1102E-001   690
 0.1850E+004 0.1567E+001   690 0.1102E-001   690
 0.1900E+004 0.1571E+001   790 0.1105E-001   790
 0.1900E+004 0.1571E+001   790 0.1105E-001   790
 0.1900E+004 0.1571E+001   790 0.1105E-001   790
 0.1900E+004 0.1571E+001   790 0.1105E-001   790
 0.1950E+004 0.1576E+001   790 0.1108E-001   790
 0.1950E+004 0.1576E+001   790 0.1108E-001   790
 0.1950E+004 0.1576E+001   790 0.1108E-001   790
 0.1950E+004 0.1576E+001   790 0.1108E-001   790
 0.2000E+004 0.1580E+001   790 0.1111E-001   790
 0.2000E+004 0.1580E+001   790 0.1111E-001   790
 0.2000E+004 0.1580E+001   790 0.1111E-001   790
 0.2000E+004 0.1580E+001   790 0.1111E-001   790
 0.2050E+004 0.1584E+001   790 0.1114E-001   790
 0.2050E+004 0.1584E+001   790 0.1114E-001   790
 0.2050E+004 0.1584E+001   790 0.1114E-001   790
 0.2050E+004 0.1584E+001   790 0.1114E-001   790
 0.2100E+004 0.1588E+001   790 0.1117E-001   790
 0.2100E+004 0.1588E+001   790 0.1117E-001   790
 0.2100E+004 0.1588E+001   790 0.1117E-001   790
 0.2100E+004 0.1588E+001   790 0.1117E-001   790
 0.2150E+004 0.1592E+001   790 0.1120E-001   790
 0.2150E+004 0.1592E+001   790 0.1120E-001   790
 0.2150E+004 0.1592E+001   790 0.1120E-001   790
 0.2150E+004 0.1592E+001   790 0.1120E-001   790
 0.2200E+004 0.1596E+001   790 0.1122E-001   790
 0.2200E+004 0.1596E+001   790 0.1122E-001   790
 0.2200E+004 0.1596E+001   790 0.1122E-001   790
 0.2200E+004 0.1596E+001   790 0.1122E-001   790
